smallest_partial_sum from only answer01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0.i,0,0,1,1,3,12760,0,0,0
1.i,0,0,1,1,3,12764,0,0,0
9.i,0,0,1,1,3,12796,0,0,0
100.i,0,0,1,1,3,13160,0,0,0
500.i,0,0,1,1,8,14760,0,0,0
1K.i,0,0,1,1,8,16760,0,0,0
5K.i,0,0,1,1,64,32760,0,0,0
10K.i,0,0,1,1,214,52760,0,0,0
30K.i,0,0,1,1,1367,132760,0,0,0
20Ka.i,0,0,1,1,665,92760,0,0,0
20Kd.i,0,0,1,1,665,92760,0,0,0
20Ke.i,0,0,1,1,816,92760,0,0,0
,,,,,,,,,
smallest_partial_sum from answer01.c and main from pe01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0.i,0,0,1,1,3,12760,0,0,0
1.i,0,0,1,1,3,12764,0,0,0
9.i,0,0,1,1,3,12796,0,0,0
100.i,0,0,1,1,3,13160,0,0,0
500.i,0,0,1,1,7,14760,0,0,0
1K.i,0,0,1,1,7,16760,0,0,0
5K.i,0,0,1,1,64,32760,0,0,0
10K.i,0,0,1,1,214,52760,0,0,0
30K.i,0,0,1,1,1517,132760,0,0,0
20Ka.i,0,0,1,1,816,92760,0,0,0
20Kd.i,0,0,1,1,766,92760,0,0,0
20Ke.i,0,0,1,1,615,92760,0,0,0
,,,,,,,,,
largest_difference from only answer01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0.i,0,0,1,1,3,12760,0,0,0
1.i,0,0,1,1,3,12764,0,0,0
9.i,0,0,1,1,8,12796,0,0,0
100.i,0,0,1,1,3,13160,0,0,0
500.i,0,0,1,1,8,14760,0,0,0
1K.i,0,0,1,1,7,16760,0,0,0
5K.i,0,0,1,1,114,32760,0,0,0
10K.i,0,0,1,1,365,52760,0,0,0
30K.i,0,1,0,0,-1,-1,-1,-1,-1
20Ka.i,0,0,1,1,715,92760,0,0,0
20Kd.i,0,1,0,0,-1,-1,-1,-1,-1
20Ke.i,0,0,1,1,766,92760,0,0,0
,,,,,,,,,
largest_difference from answer01.c and main from pe01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0.i,0,0,1,1,3,12760,0,0,0
1.i,0,0,1,1,3,12764,0,0,0
9.i,0,0,1,1,8,12796,0,0,0
100.i,0,0,1,1,8,13160,0,0,0
500.i,0,0,1,1,7,14760,0,0,0
1K.i,0,0,1,1,8,16760,0,0,0
5K.i,0,0,1,1,114,32760,0,0,0
10K.i,0,0,1,1,365,52760,0,0,0
30K.i£¬30000 array,0,1,0,0,-1,-1,-1,-1,-1
20Ka.i,0,0,1,1,716,92760,0,0,0
20Kd.i,0,1,0,0,-1,-1,-1,-1,-1
20Ke.i,0,0,1,1,715,92760,0,0,0
,,,,,,,,,
main from only pe01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0arg,0,0,1,1,3,0,0,0,0
1arg,0,0,1,1,3,0,0,0,0
3arg,0,0,1,1,3,0,0,0,0
0abc_opt,0,0,0,"0£¨because main function is wrong compare with ""\0""1",3,-1,-1,-1,-1
1xyz_opt,0,0,0,0,3,-1,-1,-1,-1
01opt,0,0,0,0,3,-1,-1,-1,-1
0-no_inputfile,0,0,0,0,3,-1,-1,-1,-1
1-no_inputfile,0,0,0,0,3,-1,-1,-1,-1
0-invalid_inputfile,0,0,0,0,4,-1,-1,-1,-1
1-invalid_inputfile,0,0,0,0,8,-1,-1,-1,-1
0-0,0,0,1,1,3,12760,0,0,0
0-1,0,0,1,1,8,12764,0,0,0
0-9,0,0,1,1,3,12796,0,0,0
1-0,0,0,1,1,3,12760,0,0,0
1-1??,0,0,1,1,8,12764,0,0,0
9-1??,0,0,1,1,3,12796,0,0,0
,,,,,,,,,
answer01.c and main from pe01.c,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct stdout,Correct return code,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
0arg,0,0,1,1,3,0,0,0,0
1arg,0,0,1,1,3,0,0,0,0
3arg,0,0,1,1,3,0,0,0,0
0abc_opt,0,0,0,0,3,-1,-1,-1,-1
1xyz_opt,0,0,0,0,8,-1,-1,-1,-1
01opt,0,0,0,0,8,-1,-1,-1,-1
0-no_inputfile,0,0,0,0,3,-1,-1,-1,-1
1-no_inputfile,0,0,0,0,3,-1,-1,-1,-1
0-invalid_inputfile,0,0,0,0,8,-1,-1,-1,-1
1-invalid_inputfile,0,0,0,0,3,-1,-1,-1,-1
0-0,0,0,1,1,8,12760,0,0,0
0-1,0,0,1,1,3,12764,0,0,0
0-9,0,0,1,1,3,12796,0,0,0
1-0,0,0,1,1,3,12760,0,0,0
1-1??,0,0,1,1,3,12764,0,0,0
9-1??,0,0,1,1,3,12796,0,0,0
