char_to_int from answer02.c,,,,,,,,,,
Cases,Compile error,Time limit exceeded,Correct conversion,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error,,
256,0,0,256,4,4096,0,0,0,,
,,,,,,,,,,
str_to_long_int from answer02.c,,,,,,,,,,
String,Base,Compile error,Time limit exceeded,Correct conversion,Correct errno,Time(ms),Used memory (bytes),Stack overflow,Memory leak,Memory error
1.11111E+30,-1,0,0,1,1,3,4096,0,0,0
1.11111E+30,0,0,0,1,1,3,4096,0,0,0
1.11111E+30,1,0,0,1,1,3,4096,0,0,0
1.11111E+30,37,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v- 1111111111111111111111111111111,2,0,0,1,0,3,4096,0,0,0
 \f\n\r\t\v+-1111111111111111111111111111111,3,0,0,1,0,3,4096,0,0,0
-1.11111E+30,4,0,0,1,0,3,4096,0,0,0
0.123,5,0,0,1,0,3,4096,0,0,0
,6,0,0,1,0,3,4096,0,0,0
7,7,0,0,1,1,3,4096,0,0,0
00010a:,36,0,0,1,1,3,4096,0,0,0
   -00010a:,10,0,0,1,1,3,4096,0,0,0
   -00010a:,16,0,0,1,1,3,4096,0,0,0
 +00010a:,16,0,0,1,1,3,4096,0,0,0
garbage,16,0,0,1,1,3,4096,0,0,0
garbage,36,0,0,1,1,3,4096,0,0,0
     +0X044,16,0,0,1,1,3,4096,0,0,0
     +0X044,34,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v+zik0Zk \f\n\r\t\v,36,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v0000002D09uC3 \f\n\r\t\v,31,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v282bA4aB0,13,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\veBelf99.123,23,0,0,1,1,3,4096,0,0,0
54787736769,9,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-00000010000000000000000000000000000001 \f\n\r\t\v,2,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-282Ba4aB0,13,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-27C57H36.123,19,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-0000003928g3H6I,18,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v+1Bk39F3AH3DMq7 \f\n\r\t\v,28,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v0000002PIjmIKeXrxp7 \f\n\r\t\v,35,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\vq1Se8f0m04IsB,29,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v2HeiCIiie82DH97.123,21,0,0,1,1,3,4096,0,0,0
+0000004340724c6C71dC7A7E,14,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-0000008000000000000000 \f\n\r\t\v,16,0,0,1,0,3,4096,0,0,0
 \f\n\r\t\v-q1sE8f0m04iSc,29,0,0,1,0,3,4096,0,0,0
 \f\n\r\t\v-9223372036854775808.123,10,0,0,1,0,3,4096,0,0,0
 \f\n\r\t\v-000000aCD772JNC9l0l8o,24,0,0,1,0,3,4096,0,0,0
 \f\n\r\t\v+A487504730968B08A0 \f\n\r\t\v,12,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v000000113333333333333333333333333333330 \f\n\r\t\v,4,0,0,1,1,8,4096,0,0,0
2.77778E+21,8,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v2343041131043231311322324230.123,5,0,0,1,1,3,4096,0,0,0
+00000020752587082923245560a,10,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-0000002g549DHa03A97H60 \f\n\r\t\v,18,0,0,1,1,4,4096,0,0,0
-2.07526E+19,10,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-164EF23f50C150B0.123,19,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-00000018000000000000000g,16,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v+2021110011022210012102010021220101220222 \f\n\r\t\v,3,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v0000001728002635214590698 \f\n\r\t\v,11,0,0,1,1,3,4096,0,0,0
1.10433E+27,5,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v41a792678515120368.123,12,0,0,1,1,3,4096,0,0,0
+00000010B269549075433c38d,13,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-0000001Bk39f3aH3dmQ9 \f\n\r\t\v,28,0,0,1,1,3,4096,0,0,0
-1.728E+18,11,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-33d3D8307B21400a.123,17,0,0,1,1,3,4096,0,0,0
 \f\n\r\t\v-0000003igOeCJBMcA689q,26,0,0,1,1,3,4096,0,0,0
